objeto_sql,tipo,operacion,archivo,linea,dependencia_funcional_previa,dependencia_sql_declarada,prioridad,origen_obligatorio,estado
patrones_mp_detalle,tabla,insercion,factory/Mapper.php,11188,Mapper::PatronItem (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Patrones_mp_detalle,tabla,lectura,factory/Mapper.php,11234,Mapper::PatronItem (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Planes_produccion,tabla,lectura,factory/Mapper.php,11668,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Planes_produccion,tabla,insercion,factory/Mapper.php,11671,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Planes_produccion,tabla,actualizacion,factory/Mapper.php,11685,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Planes_produccion,tabla,actualizacion,factory/Mapper.php,11693,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Planes_produccion,tabla,lectura,factory/Mapper.php,11698,LoteDeProduccion via getListObject en content/produccion/gestion_produccion/lotes_produccion/buscar.php:21,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
rutas_produccion,tabla,lectura,factory/Mapper.php,13299,Mapper::RutaProduccion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
rutas_produccion,tabla,insercion,factory/Mapper.php,13302,Mapper::RutaProduccion (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
rutas_produccion,tabla,actualizacion,factory/Mapper.php,13312,Mapper::RutaProduccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Rutas_produccion,tabla,actualizacion,factory/Mapper.php,13320,Mapper::RutaProduccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
rutas_produccion,tabla,lectura,factory/Mapper.php,13325,Mapper::RutaProduccion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Rutas_produccion,tabla,lectura,factory/Mapper.php,13344,Mapper::RutaProduccionPaso (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
secciones_produccion,tabla,lectura,factory/Mapper.php,13403,Mapper::SeccionProduccion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
secciones_produccion,tabla,insercion,factory/Mapper.php,13406,Mapper::SeccionProduccion (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
secciones_produccion,tabla,actualizacion,factory/Mapper.php,13436,Mapper::SeccionProduccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
secciones_produccion,tabla,actualizacion,factory/Mapper.php,13450,Mapper::SeccionProduccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
secciones_produccion,tabla,lectura,factory/Mapper.php,13455,Mapper::SeccionProduccion (uso indirecto en Produccion),Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Tareas_cabecera,tabla,insercion,factory/Mapper.php,13903,TareaProduccion via getListObject en clases/OrdenDeFabricacion.php:163,Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Tareas_cabecera,tabla,actualizacion,factory/Mapper.php,13951,TareaProduccion via getListObject en clases/OrdenDeFabricacion.php:163,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
Tareas_cabecera,tabla,lectura,factory/Mapper.php,13960,TareaProduccion via getListObject en clases/OrdenDeFabricacion.php:163,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Tareas_cabecera,tabla,lectura,factory/Mapper.php,14046,TareaProduccionItem via getListObject en content/produccion/gestion_produccion/confirmacion/buscar.php:63,Lectura directa desde mapper,NUCLEO,spiral,confirmado por codigo
Tareas_detalle,tabla,insercion,factory/Mapper.php,13979,TareaProduccionItem via getListObject en content/produccion/gestion_produccion/confirmacion/buscar.php:63,Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
Tareas_detalle,tabla,actualizacion,factory/Mapper.php,14037,TareaProduccionItem via getListObject en content/produccion/gestion_produccion/confirmacion/buscar.php:63,Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
usuarios_por_seccion,tabla,insercion,factory/Mapper.php,14794,Mapper::UsuarioPorSeccionProduccion (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,NUCLEO,spiral,inferido
usuarios_por_seccion,tabla,borrado,factory/Mapper.php,14802,Mapper::UsuarioPorSeccionProduccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,NUCLEO,spiral,confirmado por codigo
explosion_lote_temp,tabla,lectura,factory/Mapper.php,8189,ExplosionLoteTemp via getListObject en content/produccion/compras/presupuesto/explosion/buscar.php:21,Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
explosion_lote_temp,tabla,actualizacion,factory/Mapper.php,8193,ExplosionLoteTemp via getListObject en content/produccion/compras/presupuesto/explosion/buscar.php:21,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
ordenes_compra_cabecera,tabla,insercion,factory/Mapper.php,10706,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
ordenes_compra_cabecera,tabla,actualizacion,factory/Mapper.php,10736,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
ordenes_compra_cabecera,tabla,actualizacion,factory/Mapper.php,10748,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
ordenes_compra_cabecera,tabla,lectura,factory/Mapper.php,10754,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
ordenes_compra_detalle,tabla,actualizacion,factory/Mapper.php,10743,OrdenDeCompra via getListObject en content/produccion/compras/ordenes_compra/pendiente/buscar.php:63,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
Ordenes_compra_detalle,tabla,insercion,factory/Mapper.php,10772,OrdenDeCompraItem via getListObject en content/produccion/compras/ordenes_compra/descontar_pendiente/buscar.php:58,Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
Ordenes_compra_detalle,tabla,actualizacion,factory/Mapper.php,10822,OrdenDeCompraItem via getListObject en content/produccion/compras/ordenes_compra/descontar_pendiente/buscar.php:58,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
Ordenes_compra_detalle,tabla,actualizacion,factory/Mapper.php,10834,OrdenDeCompraItem via getListObject en content/produccion/compras/ordenes_compra/descontar_pendiente/buscar.php:58,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
Ordenes_compra_detalle,tabla,lectura,factory/Mapper.php,10841,OrdenDeCompraItem via getListObject en content/produccion/compras/ordenes_compra/descontar_pendiente/buscar.php:58,Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_c,tabla,lectura,factory/Mapper.php,11837,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_c,tabla,insercion,factory/Mapper.php,11840,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
presupuesto_c,tabla,actualizacion,factory/Mapper.php,11864,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_c,tabla,actualizacion,factory/Mapper.php,11872,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_c,tabla,lectura,factory/Mapper.php,11878,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_d,tabla,borrado,factory/Mapper.php,11862,Presupuesto via getListObject en content/produccion/compras/ordenes_compra/generacion/buscar.php:64,Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_d,tabla,lectura,factory/Mapper.php,11892,Mapper::PresupuestoItem (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_d,tabla,insercion,factory/Mapper.php,11896,Mapper::PresupuestoItem (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
presupuesto_d,tabla,actualizacion,factory/Mapper.php,11930,Mapper::PresupuestoItem (uso indirecto en Produccion),Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_d,tabla,actualizacion,factory/Mapper.php,11945,Mapper::PresupuestoItem (uso indirecto en Produccion),Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_d,tabla,lectura,factory/Mapper.php,11952,Mapper::PresupuestoItem (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_orden_compra,tabla,lectura,factory/Mapper.php,11967,Mapper::PresupuestoOrdenCompra (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_orden_compra,tabla,insercion,factory/Mapper.php,11970,Mapper::PresupuestoOrdenCompra (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
presupuesto_orden_compra,tabla,borrado,factory/Mapper.php,11985,Mapper::PresupuestoOrdenCompra (uso indirecto en Produccion),Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
presupuesto_orden_compra,tabla,lectura,factory/Mapper.php,11988,Mapper::PresupuestoOrdenCompra (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
remito_orden_de_compra,tabla,lectura,factory/Mapper.php,12614,Mapper::RemitoPorOrdenDeCompra (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
remito_orden_de_compra,tabla,insercion,factory/Mapper.php,12617,Mapper::RemitoPorOrdenDeCompra (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,EJECUCION,spiral,inferido
remito_orden_de_compra,tabla,actualizacion,factory/Mapper.php,12647,Mapper::RemitoPorOrdenDeCompra (uso indirecto en Produccion),Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
remito_orden_de_compra,tabla,borrado,factory/Mapper.php,12653,Mapper::RemitoPorOrdenDeCompra (uso indirecto en Produccion),Filtro WHERE declarado en mapper,EJECUCION,spiral,confirmado por codigo
remito_orden_de_compra,tabla,lectura,factory/Mapper.php,12656,Mapper::RemitoPorOrdenDeCompra (uso indirecto en Produccion),Lectura directa desde mapper,EJECUCION,spiral,confirmado por codigo
ajustes_stock,tabla,lectura,factory/Mapper.php,4123,Mapper::AjusteStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
ajustes_stock,tabla,insercion,factory/Mapper.php,4126,Mapper::AjusteStock (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
ajustes_stock,tabla,lectura,factory/Mapper.php,4154,Mapper::AjusteStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
ajustes_stock_mp,tabla,lectura,factory/Mapper.php,4168,Mapper::AjusteStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
ajustes_stock_mp,tabla,insercion,factory/Mapper.php,4171,Mapper::AjusteStockMP (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
ajustes_stock_mp,tabla,lectura,factory/Mapper.php,4199,Mapper::AjusteStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
almacenes_por_seccion,tabla,insercion,factory/Mapper.php,4256,Mapper::AlmacenPorSeccion (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
almacenes_por_seccion,tabla,borrado,factory/Mapper.php,4264,Mapper::AlmacenPorSeccion (uso indirecto en Produccion),Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
confirmaciones_stock,tabla,lectura,factory/Mapper.php,5893,Mapper::ConfirmacionStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
confirmaciones_stock,tabla,insercion,factory/Mapper.php,5896,Mapper::ConfirmacionStock (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
confirmaciones_stock,tabla,actualizacion,factory/Mapper.php,5921,Mapper::ConfirmacionStock (uso indirecto en Produccion),Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
confirmaciones_stock,tabla,lectura,factory/Mapper.php,5927,Mapper::ConfirmacionStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
consumos_stock_mp,tabla,lectura,factory/Mapper.php,6070,Mapper::ConsumoStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
consumos_stock_mp,tabla,insercion,factory/Mapper.php,6073,Mapper::ConsumoStockMP (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
consumos_stock_mp,tabla,lectura,factory/Mapper.php,6097,Mapper::ConsumoStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
Materias_primas,tabla,insercion,factory/Mapper.php,5658,ColorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:129,Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
Materias_primas,tabla,actualizacion,factory/Mapper.php,5675,ColorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:129,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
Materias_primas,tabla,actualizacion,factory/Mapper.php,5683,ColorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:129,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen,tabla,lectura,factory/Mapper.php,9883,Mapper::MovimientoAlmacen (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen,tabla,insercion,factory/Mapper.php,9886,Mapper::MovimientoAlmacen (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_almacen,tabla,lectura,factory/Mapper.php,9916,Mapper::MovimientoAlmacen (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion,tabla,lectura,factory/Mapper.php,9930,MovimientoAlmacenConfirmacion via getListObject en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php:78,Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion,tabla,insercion,factory/Mapper.php,9933,MovimientoAlmacenConfirmacion via getListObject en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php:78,Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_almacen_confirmacion,tabla,actualizacion,factory/Mapper.php,9963,MovimientoAlmacenConfirmacion via getListObject en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php:78,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion,tabla,actualizacion,factory/Mapper.php,9969,MovimientoAlmacenConfirmacion via getListObject en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php:78,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion,tabla,lectura,factory/Mapper.php,9975,MovimientoAlmacenConfirmacion via getListObject en content/produccion/stock/confirmacion_movimiento_almacen/buscar.php:78,Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion_mp,tabla,lectura,factory/Mapper.php,10036,MovimientoAlmacenConfirmacionMP via getListObject en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php:79,Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion_mp,tabla,insercion,factory/Mapper.php,10039,MovimientoAlmacenConfirmacionMP via getListObject en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php:79,Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_almacen_confirmacion_mp,tabla,actualizacion,factory/Mapper.php,10069,MovimientoAlmacenConfirmacionMP via getListObject en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php:79,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion_mp,tabla,actualizacion,factory/Mapper.php,10075,MovimientoAlmacenConfirmacionMP via getListObject en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php:79,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_confirmacion_mp,tabla,lectura,factory/Mapper.php,10081,MovimientoAlmacenConfirmacionMP via getListObject en content/produccion/stock_mp/confirmacion_movimiento_almacen/buscar.php:79,Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_mp,tabla,lectura,factory/Mapper.php,9989,Mapper::MovimientoAlmacenMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_almacen_mp,tabla,insercion,factory/Mapper.php,9992,Mapper::MovimientoAlmacenMP (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_almacen_mp,tabla,lectura,factory/Mapper.php,10022,Mapper::MovimientoAlmacenMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_stock,tabla,lectura,factory/Mapper.php,10095,Mapper::MovimientoStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_stock,tabla,insercion,factory/Mapper.php,10098,Mapper::MovimientoStock (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_stock,tabla,lectura,factory/Mapper.php,10130,Mapper::MovimientoStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_stock_mp,tabla,lectura,factory/Mapper.php,10144,Mapper::MovimientoStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
movimientos_stock_mp,tabla,insercion,factory/Mapper.php,10147,Mapper::MovimientoStockMP (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
movimientos_stock_mp,tabla,lectura,factory/Mapper.php,10179,Mapper::MovimientoStockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
Proveedores_materias_primas,tabla,insercion,factory/Mapper.php,12169,ProveedorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:113,Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
Proveedores_materias_primas,tabla,actualizacion,factory/Mapper.php,12191,ProveedorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:113,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
Proveedores_materias_primas,tabla,actualizacion,factory/Mapper.php,12198,ProveedorMateriaPrima via getListObject en content/produccion/compras/ordenes_compra/generacion/agregar.php:113,Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
sp_stock_a_fecha,procedure,llamada,content/produccion/stock/stock_a_fecha/buscar.php,54,Calculo operativo en content/produccion/stock/stock_a_fecha/buscar.php,Stored procedure invocado por Factory::getArrayFromStoredProcedure,STOCK_MATERIALES,spiral,confirmado por codigo
sp_stock_mp_a_fecha,procedure,llamada,content/produccion/stock_mp/stock_a_fecha/buscar.php,53,Calculo operativo en content/produccion/stock_mp/stock_a_fecha/buscar.php,Stored procedure invocado por Factory::getArrayFromStoredProcedure,STOCK_MATERIALES,spiral,confirmado por codigo
stock,tabla,lectura,factory/Mapper.php,13619,Mapper::Stock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
stock,tabla,insercion,factory/Mapper.php,13624,Mapper::Stock (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
stock,tabla,actualizacion,factory/Mapper.php,13640,Mapper::Stock (uso indirecto en Produccion),Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
stock_mp_tabla,tabla,lectura,factory/Mapper.php,13668,Mapper::StockMP (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
stock_mp_tabla,tabla,insercion,factory/Mapper.php,13673,Mapper::StockMP (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
stock_mp_tabla,tabla,actualizacion,factory/Mapper.php,13689,Mapper::StockMP (uso indirecto en Produccion),Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
stock_pt,view,lectura,content/produccion/stock/movimiento_almacen/buscar.php,70,Consulta de UI/servicio en content/produccion/stock/movimiento_almacen/buscar.php,View invocada explicitamente por Factory::getArrayFromView,STOCK_MATERIALES,spiral,confirmado por codigo
tipo_producto_stock,tabla,lectura,factory/Mapper.php,14246,Mapper::TipoProductoStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
tipo_producto_stock,tabla,insercion,factory/Mapper.php,14249,Mapper::TipoProductoStock (uso indirecto en Produccion),Insercion directa; dependencias por claves cod_*,STOCK_MATERIALES,spiral,inferido
tipo_producto_stock,tabla,actualizacion,factory/Mapper.php,14263,Mapper::TipoProductoStock (uso indirecto en Produccion),Filtro WHERE declarado en mapper,STOCK_MATERIALES,spiral,confirmado por codigo
tipo_producto_stock,tabla,lectura,factory/Mapper.php,14270,Mapper::TipoProductoStock (uso indirecto en Produccion),Lectura directa desde mapper,STOCK_MATERIALES,spiral,confirmado por codigo
